District	Name	Village	Father's Name
Ambala	Jaimal Singh	Nagalian Siawala Majri	Mahin Singh
Amritsar	Acchar Singh Sheena	Amritsar	
Amritsar	"Amar Singh, Mehra"	Amritsar	
Amritsar	Bir Singh	Malian	
Amritsar	Bisham Singh	Mirhans	Mahna Singh
Amritsar	Bishan Singh	Burjraike	Jiwan Singh
Amritsar	Buta Singh	Muchhal	Lehna Singh
Amritsar	Dalip Singh Saund	Chahjal	Natha Singh
Amritsar	"Gursaran Singh, Gill"	Jagdeo Kalan	Faujdar Singh
Amritsar	Hakim Singh	Jauhal	
Amritsar	Hardit Singh	Chola	Sohel Singh
Amritsar	Hukam Singh	Jamastpura	
Amritsar	Ishar Singh	Amritsar	
Amritsar	Jagan Nath Sharma	Rohke	
Amritsar	Jawala Singh	Thatian	Kanhya Singh
Amritsar	Jit Singh	Mirhana	Bur Singh
Amritsar	Kapur Singh	Khanoe	Ala Singh
Amritsar	Kartar Singh	Badala	Hari Singh
Amritsar	Kehr Singh	Palasaur	Dewa Singh
Amritsar	Kesar Singh Thathgarh-Baba	Tatgarh	Bhup Singh
Amritsar	Mangal Singh	Lalpura	Sharm Singh
Amritsar	Mangal Singh	Tappa	
Amritsar	Mula Singh	Mirankot	Jawala Singh
Amritsar	Nanak Chand	Naushera Punuan	Girdhari Lal
Amritsar	Pala Singh	Jagdev Kalan	Sundar Singh
Amritsar	Pala Singh	Laskhiri	Bhagat Singh
Amritsar	Pritam Singh	Dhand Kasel	
Amritsar	Santa Singh	Gandiwind	Vir Singh
Amritsar	Santa Singh	Lohoke	Nihal Singh
Amritsar	Sher Singh	Vainpon	Kesar Singh
Amritsar	Sher Singh Wein Puin	Amritsar	
Amritsar	"Sohan Singh Bhakna, Baba"	Bhakna Kalan	Karam Singh
Amritsar	Sucha Singh	Marhana	Sant Singh
Amritsar	"Wasakha Singh, Baba"	Dodher	Dyal Singh
Ferozepore	Bagga Singh Daliwal	Nihalsinghwala	
Ferozepore	Bishan Singh	Sadda Singh Wala	Hira Singh
Ferozepore	Chanan Singh	Chuga	Ram Singh
