Village	Name	District	Father's Name
Adekali	"Harnam Singh, Giani"	Jullundur	Ganga Ram
Akhara	Ishar Singh	Ludhiana	Karam Singh
Alamwala	Ishar Singh	Ferozepore	
Amritsar	Acchar Singh Sheena	Amritsar	
Amritsar	"Amar Singh, Mehra"	Amritsar	
Amritsar	Ishar Singh	Amritsar	
Amritsar	Sher Singh Wein Puin	Amritsar	
Apra	Hans Raj	Jullundur	Nagina Mal
Atiana	Indar Singh	Ludhiana	Narain Singh
Aulakh	"Sohan Lal, Bhai"	Jullundur	Lachman Das
Badala	Kartar Singh	Amritsar	Hari Singh
Baddowal	"Hari Singh, Jat"	Ludhiana	Gurdit Singh
Baddowal	"Rakha Singh, Grewal"	Ludhiana	Chanda Singh
Bahowal	Harnam Singh	Hoshiarpur	Hira Singh
Banga	"Labhu Ram, Subra"	Jullundur	Kanshi Ram
Bange	Ram Prasad	Hoshiarpur	Ganga Bishan
Barapind	Milkha Singh	Jullundur	Harnam Singh
Barian Kalan	Diwan Singh	Hoshiarpur	Biru Singh
Barikab	Khushal Khan	Peshawar	Sher Muhammad
Basra	Hari Singh	Sialkot	Chaudri Sham Das
Bela	Sajjan Singh	Patiala	Khazan Singh
Bhaini	Kishan Singh	Ludhiana	
Bhakna Kalan	"Sohan Singh Bhakna, Baba"	Amritsar	Karam Singh
Bhasin	Jagat Singh	Lahore	Ganda Singh
Bhikhiwind	Bhag Singh-Bhai	Lahore	
Biharan	Chet Singh	Hoshiarpur	Ram Ditta
Bilga	Chhaju Ram	Jullundur	Puran Singh
Bilga	Hazara Singh	Jullundur	Ram Singh
Bilga	Rajoo Singh	Jullundur	Ganda Singh
Birpind	Bawa Singh	Jullundur	Jagat Singh
Birpind	Dalip Singh	Jullundur	Mihan Singh
Birpind	Khazan Singh	Jullundur	Jotu Singh
Bundala	Gulzara Singh	Jullundur	Hardit Singh
Bundala	"Harbans Singh, Basi"	Jullundur	
Burjraike	Bishan Singh	Amritsar	Jiwan Singh
Chahar Chak	Kanshi Ram Pandit Marouli	Ferozepore	Sita Ram
Chahjal	Dalip Singh Saund	Amritsar	Natha Singh
Chak Ramon	Bawa Singh	Jullundur	
Chand Jadid	Kartar Singh	Ferozepore	Sundar Singh
Chiman Kalan	"Karam Singh, Chima"	Jullundur	Gujar Singh
Chiman Kalan	Lakha Singh	Jullundur	Sandhi Singh
Chola	Hardit Singh	Amritsar	Sohel Singh
Chuga	Chanan Singh	Ferozepore	Ram Singh
Chuga Kalan	Fazal Din	Ferozepore	Ghaus Mohammad
Chuhar Chak	Rur Singh	Ferozepore	Attar Singh
Chuhar Chak	"Sudh Singh, Bhai"	Ferozepore	Chanda Singh
Daduwal	Naurang Singh	Hoshiarpur	
Dalewal	Harnam Singh	Jullundur	
Dhada	Gurbachan SinghDhada	Hoshiarpur	
Dhada Katan	Dasaundha Singh	Hoshiarpur	
Dhakowal	Dalip Singh	Hoshiarpur	Narian Singh
Dhaliwal	"Sohan Singh ""Yachak"""	Jullundur	Vir Bhan
Dhand Kasel	Pritam Singh	Amritsar	
Dhapin	Waryam Singh	Kapurthala	Wazir Singh
Dhudeke	Pakhar Singh	Ferozepore	Bhan Singh
Dhurial	Iqbal Singh Hundal	Jullundur	Hakim Singh
Dhurial	Jiwan Singh	Jullundur	Rajindar Singh
Dhusarab	Amin Chand Sharma	Hoshiarpur	Nand Lal
Dhut	Karam Singh	Kapurthala	Ganga Singh
Dhut Kalan	Padha Singh	Kapurthala	Takht Singh
Dhut Kalan	Shiv Singh	Kapurthala	
Dhut Kalan	Sohan Singh	Kapurthala	Samittar Singh
Dodher	"Wasakha Singh, Baba"	Amritsar	Dyal Singh
Dosanjh Kalan	Bhagwan Singh-Bhai	Jullundur	Dewa Singh
Durial	Atma Singh	Jullundur	Hakim Singh
Dusanj	Indiar Singh	Jullundur	
Dyal	Gopal Singh	Hoshiarpur	Tani Singh
Gahor	Kishan Singh	Ludhiana	Rattan Singh
Gandiwind	Santa Singh	Amritsar	Vir Singh
Garcha	Kartar Singh	Jullundur	
Ghall Kalan	Hari Singh	Ferozepore	Baran Singh
Ghall Kalan	Kirpal Singh	Ferozepore	Vir Singh
Ghamiala	Joga Singh	Hoshiarpur	
Ghurka	Babu Khan	Jullundur	Kande Khan
Goram	"Ishar Singh, ""Gunam"""	Ludhiana	Sahib Singh
Govindpur	Babu Singh	Hoshiarpur	
Gurdit Singh	Jagat SinghKandola	Jullundur	
Guria	Jawala Singh	Jullundur	"Nihala Singh, Jat"
Hadiabad	Gardas Ram	Kapurthala	Gonda Mal
Halluwal	Ram Singh	Hoshiarpur	Sahib Singh
Haluwal	Harnam Singh	Hoshiarpur	
Hariana	Jagat Ram	Hoshiarpur	Ditta Ram
Haripur	Amar Singh	Jullundur	Sundar Singh
Harkhowal	Indar Singh	Hoshiarpur	Fateh Singh
Hoshiarpur	Ajmer Singh	Hoshiarpur	"Harnam Singh, Jat"
Hoshiarpur	Umrao SinghMahilpur	Jowahir Singh	
Jadla	Madhu Ram	Jullundur	Kesho Chand
Jagdeo Kalan	"Gursaran Singh, Gill"	Amritsar	Faujdar Singh
Jagdev Kalan	Pala Singh	Amritsar	Sundar Singh
Jain	Basant Singh	Hoshiarpur	Sundar Singh
Jaja	Ishar Singh	Hoshiarpur	Shajoo Singh
Jaman	Bagga Singh Bhullar	Lahore	Hira Singh
Jamastpura	Hukam Singh	Amritsar	
Jamsher	Thakur Singh	Jullundur	Jhandu Singh
Jandiala	Bakhshish Chand	Jullundur	Sondhi Ram
Jandiala	Gurbachan Singh	Jullundur	
